SELL,0,31502,7500
SELL,1,31502,7500
BUY,2,31601,20000
BUY,3,31601,1000
BUY,4,31601,200
SELL,5,30501,1000
SELL,6,31502,7500
SELL,7,31502,7500
BUY,8,31601,20000
BUY,9,31601,1000
BUY,10,31601,200
SELL,11,30501,1000
SELL,12,31502,7500
SELL,13,31502,7500
BUY,14,31601,20000
BUY,15,31601,1000
BUY,16,31601,200
SELL,17,30501,1000
SELL,18,31502,7500
SELL,19,31502,7500
BUY,20,31601,20000
BUY,21,31601,1000
BUY,22,31601,200
SELL,23,30501,1000
SELL,24,31502,7500
SELL,25,31502,7500
BUY,26,31601,20000
BUY,27,31601,1000
BUY,28,31601,200
SELL,29,30501,1000
SELL,30,31502,7500
SELL,31,31502,7500
BUY,32,31601,20000
BUY,33,31601,1000
BUY,34,31601,200
SELL,35,30501,1000
SELL,36,31502,7500
SELL,37,31502,7500
BUY,38,31601,20000
BUY,39,31601,1000
BUY,40,31601,200
SELL,41,30501,1000
SELL,42,31502,7500
SELL,43,31502,7500
BUY,44,31601,20000
BUY,45,31601,1000
BUY,46,31601,200
SELL,47,30501,1000
SELL,48,31502,7500
SELL,49,31502,7500
BUY,50,31601,20000
BUY,51,31601,1000
BUY,52,31601,200
SELL,53,30501,1000
SELL,54,31502,7500
SELL,55,31502,7500
BUY,56,31601,20000
BUY,57,31601,1000
BUY,58,31601,200
SELL,59,30501,1000
SELL,60,31502,7500
SELL,61,31502,7500
BUY,62,31601,20000
BUY,63,31601,1000
BUY,64,31601,200
SELL,65,30501,1000
SELL,66,31502,7500
SELL,67,31502,7500
BUY,68,31601,20000
BUY,69,31601,1000
BUY,70,31601,200
SELL,71,30501,1000
SELL,72,31502,7500
SELL,73,31502,7500
BUY,74,31601,20000
BUY,75,31601,1000
BUY,76,31601,200
SELL,77,30501,1000
SELL,78,31502,7500
SELL,79,31502,7500
BUY,80,31601,20000
BUY,81,31601,1000
BUY,82,31601,200
SELL,83,30501,1000
SELL,84,31502,7500
SELL,85,31502,7500
BUY,86,31601,20000
BUY,87,31601,1000
BUY,88,31601,200
SELL,89,30501,1000
SELL,90,31502,7500
SELL,91,31502,7500
BUY,92,31601,20000
BUY,93,31601,1000
BUY,94,31601,200
SELL,95,30501,1000
SELL,96,31502,7500
SELL,97,31502,7500
BUY,98,31601,20000
BUY,99,31601,1000
BUY,100,31601,200
SELL,101,30501,1000
SELL,102,31502,7500
SELL,103,31502,7500
BUY,104,31601,20000
BUY,105,31601,1000
BUY,106,31601,200
SELL,107,30501,1000
SELL,108,31502,7500
SELL,109,31502,7500
BUY,110,31601,20000
BUY,111,31601,1000
BUY,112,31601,200
SELL,113,30501,1000
SELL,114,31502,7500
SELL,115,31502,7500
BUY,116,31601,20000
BUY,117,31601,1000
BUY,118,31601,200
SELL,119,30501,1000
SELL,120,31502,7500
SELL,121,31502,7500
BUY,122,31601,20000
BUY,123,31601,1000
BUY,124,31601,200
SELL,125,30501,1000
SELL,126,31502,7500
SELL,127,31502,7500
BUY,128,31601,20000
BUY,129,31601,1000
BUY,130,31601,200
SELL,131,30501,1000
SELL,132,31502,7500
